name,price
Julien Duranville,5.0
Youssoufa Moukoko,30.0
Jude Bellingham,120.0
Jamal Musiala,110.0
Josko Gvardiol,75.0
Alphonso Davies,70.0
Matthijs de Ligt,75.0
Randal Kolo Muani,65.0
Christopher Nkunku,80.0
Kingsley Coman,65.0
Leroy Sané,70.0
Joshua Kimmich,80.0
Matthias Ginter,20.0
Raphaël Guerreiro,20.0
Jonas Hofmann,13.0
Niclas Füllkrug,13.0
Mario Götze,13.0
Sadio Mané,45.0
Kevin Trapp,8.5
Thomas Müller,18.0
Mats Hummels,6.5
Rafal Gikiewicz,1.2
Christopher Trimmel,0.8
Manuel Neuer,7.0
Philipp Pentke,0.3
Rune Jarstein,0.3
Makoto Hasebe,0.8
